date,AndamanandNicobarIslands,AndhraPradesh,ArunachalPradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DadarNagarHaveli,Delhi,Goa,Gujarat,Haryana,HimachalPradesh,JammuandKashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,MadhyaPradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,TamilNadu,Telengana,Tripura,UttarPradesh,Uttarakhand,WestBengal
2020-03-10,0,0,0,0,0,0,0,0,4,0,0,14,0,1,0,1,9,2,0,0,2,0,0,0,0,0,0,1,2,0,1,1,0,9,0,0
2020-03-11,0,0,0,0,0,0,0,0,5,0,0,14,0,1,0,4,17,2,0,0,2,0,0,0,0,0,0,1,3,0,1,1,0,9,0,0
2020-03-12,0,1,0,0,0,0,0,0,6,0,0,14,0,1,0,4,17,3,0,0,11,0,0,0,0,0,0,1,3,0,1,1,0,11,0,0
2020-03-13,0,1,0,0,0,0,0,0,6,0,0,14,0,1,0,6,19,3,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,11,0,0
2020-03-14,0,1,0,0,0,0,0,0,7,0,0,14,0,2,0,6,19,3,0,0,14,0,0,0,0,0,0,1,3,0,1,1,0,12,0,0
2020-03-15,0,1,0,0,0,0,0,0,7,0,0,14,0,2,0,6,22,3,0,0,32,0,0,0,0,0,0,1,4,0,1,3,0,13,1,0
2020-03-16,0,1,0,0,0,0,0,0,7,0,0,14,0,3,0,6,23,4,0,0,32,0,0,0,0,1,0,1,4,0,1,3,0,13,1,0
2020-03-17,0,1,0,0,0,0,0,0,8,0,0,15,0,3,0,11,26,6,0,0,39,0,0,0,0,1,0,1,4,0,1,5,0,15,1,0
2020-03-18,0,1,0,0,0,0,0,0,10,0,0,17,0,3,0,11,27,8,0,0,42,0,0,0,0,1,0,1,4,0,1,6,0,16,1,1
2020-03-19,0,2,0,0,0,1,0,0,12,0,0,17,0,4,0,14,27,8,0,0,47,0,0,0,0,1,0,2,7,0,2,6,0,19,1,1
2020-03-20,0,3,0,0,0,1,1,0,17,0,5,17,0,4,0,15,28,10,0,0,52,0,0,0,0,2,1,2,17,0,3,17,0,23,3,2
2020-03-21,0,3,0,0,0,1,1,0,26,0,7,17,2,4,0,15,40,13,0,4,63,0,0,0,0,2,1,13,17,0,3,21,0,24,3,3
2020-03-22,0,5,0,0,2,5,1,0,29,0,18,21,2,4,0,26,52,13,0,4,67,0,0,0,0,2,1,21,24,0,7,22,0,27,3,4
2020-03-23,0,7,0,0,2,6,1,0,29,0,29,26,3,4,0,33,67,13,0,6,74,0,0,0,0,2,1,21,28,0,9,32,0,31,3,7
2020-03-24,0,8,0,0,3,7,1,0,30,0,33,28,3,4,0,37,95,13,0,7,89,1,0,0,0,2,1,29,32,0,15,35,0,33,4,9
2020-03-25,0,9,0,0,4,7,1,0,31,0,38,28,3,7,0,41,109,13,0,14,128,1,0,1,0,2,1,29,36,0,18,35,0,37,4,9
2020-03-26,1,11,0,0,6,7,6,0,36,3,43,30,3,13,0,55,118,13,0,20,124,1,0,1,0,2,1,33,41,0,26,44,0,41,5,10
2020-03-27,1,12,0,0,6,7,6,0,36,3,43,30,3,13,0,55,137,13,0,20,130,1,0,1,0,2,1,33,41,0,29,45,0,41,5,10
2020-03-28,6,14,0,0,9,8,6,0,39,3,45,33,3,20,0,55,176,13,0,30,180,1,0,1,0,3,1,38,54,0,40,56,0,55,5,15
2020-03-29,9,19,0,0,11,8,7,0,50,6,59,47,3,31,0,76,190,13,0,30,189,1,0,1,0,3,1,38,57,0,55,76,0,66,8,18
2020-03-30,9,23,0,0,15,8,7,0,88,6,70,50,3,48,0,83,210,13,0,47,201,1,0,1,0,3,1,38,61,0,73,81,0,83,8,22
2020-03-31,10,40,0,0,15,13,8,0,97,5,73,40,3,54,0,83,234,13,0,47,216,1,0,1,0,3,1,41,74,0,74,79,0,101,7,26
2020-04-01,10,83,0,0,23,16,9,0,152,5,82,43,3,62,0,101,241,13,0,66,302,1,0,1,0,4,3,42,93,0,234,96,0,103,7,37
2020-04-02,10,86,0,5,24,16,9,0,219,5,87,43,3,62,1,110,265,13,0,99,335,1,0,1,0,4,3,46,108,0,234,107,0,113,7,53
2020-04-03,10,132,1,16,29,18,9,0,219,6,95,49,6,75,2,124,286,14,0,104,335,2,0,1,0,5,5,48,167,0,309,158,0,172,10,63
2020-04-04,10,161,1,24,30,18,9,0,445,7,105,49,6,75,2,128,295,14,0,104,490,2,0,1,0,5,5,57,200,0,411,159,0,174,16,69
2020-04-05,10,190,1,26,30,18,9,0,503,7,122,59,6,106,3,144,306,14,0,165,490,2,0,1,0,20,5,57,200,0,485,269,0,227,22,80
2020-04-06,10,226,1,26,32,18,10,0,523,7,144,84,13,109,4,151,314,14,0,165,748,2,0,1,0,21,5,76,274,0,571,321,0,305,26,80
2020-04-07,10,266,1,26,32,18,10,0,576,7,165,90,13,116,4,175,327,14,0,229,868,2,0,1,0,42,5,91,288,0,621,364,1,305,31,91
2020-04-08,10,305,1,27,38,18,10,0,576,7,165,147,18,116,4,175,336,14,0,229,1018,2,0,1,0,42,5,91,328,0,690,427,1,343,31,99
2020-04-09,11,348,1,28,39,18,10,0,669,7,179,169,18,158,13,181,345,14,0,259,1135,2,0,1,0,42,5,101,383,0,738,442,1,410,35,103
2020-04-10,11,363,1,29,60,18,10,0,898,7,241,169,28,184,13,197,357,15,0,259,1364,2,0,1,0,44,5,132,463,0,834,473,1,431,35,116
2020-04-11,11,381,1,29,60,18,18,0,903,7,308,177,28,207,17,214,364,15,0,443,1574,2,0,1,0,48,7,132,553,0,911,504,2,433,35,126
2020-04-12,11,381,1,29,64,19,25,0,1069,7,432,185,32,224,17,226,374,15,0,564,1761,2,0,1,0,54,7,151,700,0,969,504,2,452,35,134
2020-04-13,11,432,1,31,64,21,31,0,1154,7,539,185,32,245,19,247,376,15,0,604,1985,2,0,1,1,54,7,167,812,0,1075,562,2,483,35,152
2020-04-14,11,473,1,31,66,21,31,0,1510,7,617,199,32,270,24,258,379,15,0,730,2337,2,1,1,1,55,7,176,879,0,1173,624,2,657,35,190
2020-04-15,11,503,1,33,70,21,33,0,1561,7,695,199,33,278,27,277,387,17,0,987,2687,2,7,1,0,60,7,186,1005,0,1204,647,2,735,37,213
2020-04-16,11,534,1,33,74,21,33,0,1578,7,871,205,35,300,28,315,388,17,0,1120,2919,2,7,1,0,60,7,186,1023,0,1242,698,2,773,37,231
2020-04-17,11,572,1,35,83,21,36,0,1640,7,1021,205,35,314,29,353,395,18,0,1308,3205,2,9,1,0,60,7,186,1131,0,1267,743,2,846,37,255
2020-04-18,12,603,1,35,85,21,36,0,1707,7,1272,225,38,328,33,371,396,18,0,1355,3323,2,11,1,0,60,7,202,1229,0,1323,791,2,969,42,287
2020-04-19,14,603,1,35,86,23,36,0,1893,7,1604,233,39,341,35,384,400,18,0,1407,3651,2,11,1,0,61,7,219,1351,0,1372,844,2,1084,42,310
2020-04-20,15,722,1,35,96,26,36,0,2003,7,1851,233,39,350,42,395,402,18,0,1485,4203,2,11,1,0,68,7,219,1478,0,1477,873,2,1176,44,339
2020-04-21,16,757,1,35,114,26,36,0,2081,7,2066,254,39,368,46,415,408,18,0,1540,4669,2,11,1,0,74,7,245,1576,0,1520,919,2,1294,46,392
2020-04-22,17,813,1,35,126,27,36,0,2156,7,2272,254,39,380,45,425,427,18,0,1592,5221,2,12,1,0,82,7,251,1801,0,1596,945,2,1412,46,423
2020-04-23,18,895,1,35,148,27,36,0,2248,7,2407,262,40,407,49,443,438,18,0,1695,5652,2,12,1,0,83,7,277,1890,0,1629,960,2,1509,46,456
2020-04-24,22,955,1,36,176,27,36,0,2376,7,2624,272,40,427,55,463,448,18,0,1852,6430,2,12,1,0,90,7,277,1964,0,1683,984,2,1604,47,514
2020-04-25,27,1061,1,36,228,28,36,0,2514,7,2815,272,40,454,59,489,451,20,0,1952,6817,2,12,1,0,94,7,298,2034,0,1755,984,2,1778,48,571
2020-04-26,33,1097,1,36,251,30,37,0,2625,7,3071,289,40,494,67,501,458,20,0,2096,7628,2,12,1,0,103,7,298,2083,0,1821,991,2,1843,50,611
2020-04-27,33,1177,1,36,277,30,37,0,2918,7,3301,289,40,523,82,511,469,20,0,2168,8068,2,12,1,0,108,8,313,2185,0,1885,1002,2,1955,51,649
2020-04-28,33,1259,1,38,346,40,37,0,3108,7,3548,296,40,546,103,520,482,22,0,2368,8590,2,12,1,0,118,8,313,2262,0,1937,1004,2,2043,51,697
2020-04-29,33,1332,1,38,383,56,38,0,3314,7,3774,310,40,565,105,532,486,22,0,2561,9318,2,12,1,0,119,8,322,2364,0,2058,1012,2,2115,54,725
2020-04-30,33,1403,1,42,403,56,38,0,3439,7,4082,310,40,581,107,557,496,22,0,2660,9915,2,12,1,0,128,8,357,2438,0,2162,1012,2,2203,55,758
